ID;ID_MEDICO;VISITADO
850;1024;NÃO
851;1025;SIM
852;1026;SIM
853;1027;SIM
854;1028;NÃO
855;1029;NÃO
856;1030;SIM
857;1031;SIM
858;1032;NÃO
859;1033;NÃO
860;1034;NÃO
861;1035;NÃO
862;1036;NÃO
863;1037;SIM
864;1038;NÃO
865;1039;NÃO
866;1040;NÃO
867;1041;NÃO
868;1042;NÃO
869;1043;NÃO
870;1044;NÃO
871;1045;NÃO
872;1046;NÃO
873;1047;NÃO
874;1048;NÃO
875;1049;NÃO
876;1050;SIM
877;1051;NÃO
878;1052;NÃO
879;1053;NÃO
880;1054;NÃO
881;1055;NÃO
882;1056;NÃO
883;1057;NÃO
884;1058;NÃO
885;1059;NÃO
886;1060;NÃO
887;1061;NÃO
888;1062;NÃO
889;1063;NÃO
890;1064;NÃO
891;1065;NÃO
892;1066;NÃO
893;1067;NÃO
894;1068;SIM
895;1069;NÃO
896;1070;NÃO
897;1071;NÃO
898;1072;SIM
899;1074;NÃO
900;1075;NÃO
901;1076;NÃO
902;1077;NÃO
903;1078;NÃO
904;1079;NÃO
905;1080;NÃO
906;1081;SIM
907;1082;NÃO
908;1083;NÃO
909;1084;NÃO
910;1085;NÃO
911;1086;SIM
912;1087;NÃO
913;1088;SIM
914;1089;SIM
915;1090;NÃO
916;1091;NÃO
917;1092;NÃO
918;1093;SIM
919;1094;NÃO
920;1095;NÃO
921;1096;NÃO
922;1097;NÃO
923;1098;NÃO
924;1099;NÃO
925;1100;NÃO
926;1101;NÃO
927;1102;NÃO
928;1103;NÃO
929;1104;SIM
930;1105;SIM
931;1106;NÃO
932;1107;SIM
933;1108;SIM
934;1109;NÃO
935;1110;NÃO
936;1111;SIM
937;1112;SIM
938;1113;SIM
939;1114;NÃO
940;1115;SIM
941;1116;NÃO
942;1117;NÃO
943;1118;NÃO
944;1119;NÃO
945;1120;NÃO
946;1122;SIM
947;1123;NÃO
948;1124;NÃO
949;1125;NÃO
950;1126;NÃO
951;1127;NÃO
952;1128;NÃO
953;1129;NÃO
954;1130;SIM
955;1131;NÃO
956;1132;NÃO
957;1133;NÃO
958;1134;NÃO
959;1135;NÃO
960;1136;NÃO
961;1137;NÃO
962;1138;SIM
963;1139;NÃO
964;1140;NÃO
965;1141;NÃO
966;1142;SIM
967;1143;NÃO
968;1144;SIM
969;1145;NÃO
970;1146;NÃO
971;1147;NÃO
972;1148;SIM
973;1149;NÃO
974;1150;NÃO
975;1151;SIM
976;1152;SIM
977;1153;NÃO
978;1154;SIM
979;1155;SIM
980;1156;SIM
981;1157;NÃO
982;1158;NÃO
983;1159;SIM
984;1160;SIM
985;1161;SIM
986;1162;NÃO
987;1163;NÃO
988;1164;SIM
989;1165;NÃO
990;1166;NÃO
991;1167;NÃO
992;1168;NÃO
993;1169;SIM
994;1170;NÃO
995;1171;NÃO
996;1172;NÃO
997;1173;SIM
998;1175;SIM
999;1176;SIM
1000;1177;NÃO
1001;1178;SIM
1002;1179;NÃO
1003;1180;NÃO
1004;1181;NÃO
1005;1182;NÃO
1006;1183;NÃO
1007;1184;SIM
1008;1185;NÃO
1009;1186;NÃO
1010;1187;NÃO
1011;1188;SIM
1012;1189;NÃO
1013;1190;NÃO
1014;1191;NÃO
1015;1192;NÃO
1016;1193;SIM
1017;1194;SIM
1018;1195;NÃO
1019;1196;NÃO
1020;1197;NÃO
1021;1198;NÃO
1022;1199;NÃO
1023;1200;NÃO
1024;1201;NÃO
1025;1202;SIM
1026;1203;NÃO
1027;1204;NÃO
1028;1205;SIM
1029;1206;NÃO
1030;1207;NÃO
1031;1208;NÃO
1032;1209;SIM
1033;1210;NÃO
1034;1211;NÃO
1035;1212;SIM
1036;1213;NÃO
1037;1214;NÃO
1038;1215;NÃO
1039;1216;SIM
1040;1217;NÃO
1041;1218;SIM
1042;1219;NÃO
1043;1220;SIM
1044;1221;NÃO
1045;1222;SIM
1046;1223;NÃO
1047;1224;NÃO
1048;1225;NÃO
